# Mamba packages
# packages in environment at /home/znmeb/mambaforge/envs/acs-1:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
_sysroot_linux-aarch64_curr_repodata_hack 4                   h57d6b7b_13    conda-forge
aiohttp                   3.8.5            py38h9579f32_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
anyio                     4.0.0              pyhd8ed1ab_0    conda-forge
aom                       3.5.0                headf329_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0           py38h9579f32_4    conda-forge
arrow                     1.2.3              pyhd8ed1ab_0    conda-forge
asttokens                 2.4.0              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
async-timeout             4.0.3              pyhd8ed1ab_0    conda-forge
atk-1.0                   2.38.0               hf4e84e4_1    conda-forge
attrs                     23.1.0             pyh71513ae_1    conda-forge
babel                     2.12.1             pyhd8ed1ab_1    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                pyhd8ed1ab_3    conda-forge
backports.functools_lru_cache 1.6.5              pyhd8ed1ab_0    conda-forge
beautifulsoup4            4.12.2             pyha770c72_0    conda-forge
binutils_impl_linux-aarch64 2.40                 h870a726_0    conda-forge
bleach                    6.0.0              pyhd8ed1ab_0    conda-forge
brotli                    1.1.0                h31becfc_0    conda-forge
brotli-bin                1.1.0                h31becfc_0    conda-forge
brotli-python             1.1.0            py38hb83fbf6_0    conda-forge
bwidget                   1.9.14               h8af1aa0_1    conda-forge
bzip2                     1.0.8                hf897c2e_4    conda-forge
c-ares                    1.19.1               h31becfc_0    conda-forge
ca-certificates           2023.7.22            hcefe29a_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cairo                     1.16.0            hd7f43fd_1017    conda-forge
certifi                   2023.7.22          pyhd8ed1ab_0    conda-forge
cffi                      1.15.1           py38h4ab679b_5    conda-forge
charset-normalizer        3.2.0              pyhd8ed1ab_0    conda-forge
cmake                     3.27.6               hef020d8_0    conda-forge
comm                      0.1.4              pyhd8ed1ab_0    conda-forge
contourpy                 1.1.1            py38hb4b5b6f_1    conda-forge
cupy                      12.2.0                   pypi_0    pypi
curl                      8.3.0                h4e8248e_0    conda-forge
cusignal                  23.8.0+0.g42d12fd.dirty          pypi_0    pypi
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
cython                    3.0.2            py38hb83fbf6_2    conda-forge
dav1d                     1.2.1                h31becfc_0    conda-forge
debugpy                   1.8.0            py38hb83fbf6_1    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
distro                    1.8.0              pyhd8ed1ab_0    conda-forge
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
exceptiongroup            1.1.3              pyhd8ed1ab_0    conda-forge
executing                 1.2.0              pyhd8ed1ab_0    conda-forge
expat                     2.5.0                hd600fc2_1    conda-forge
fastrlock                 0.8.2            py38hb83fbf6_1    conda-forge
ffmpeg                    6.0.0           gpl_hb2797d3_104    conda-forge
fftw                      3.3.10          nompi_h2dcef8e_108    conda-forge
filelock                  3.12.4             pyhd8ed1ab_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.14.2               ha9a116f_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.42.1           py38h9579f32_0    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_0    conda-forge
freetype                  2.12.1               hf0a5ef3_2    conda-forge
fribidi                   1.0.10               hb9de7d4_0    conda-forge
frozenlist                1.4.0            py38h9579f32_1    conda-forge
gcc_impl_linux-aarch64    13.2.0               h5669b93_2    conda-forge
gdk-pixbuf                2.42.10              ha28a4fe_3    conda-forge
gettext                   0.21.1               ha18d298_0    conda-forge
gfortran_impl_linux-aarch64 13.2.0               h2e87c2d_2    conda-forge
ghostscript               10.02.0              h2f0025b_0    conda-forge
giflib                    5.2.1                hb4cce97_3    conda-forge
gmp                       6.2.1                h7fd3ca4_0    conda-forge
gmpy2                     2.1.2            py38hff653fa_1    conda-forge
gnutls                    3.7.8                h5e100cc_0    conda-forge
graphite2                 1.3.13            h7fd3ca4_1001    conda-forge
graphviz                  8.1.0                h1e60024_0    conda-forge
gsl                       2.7                  h294027d_0    conda-forge
gtk2                      2.24.33              h49e3f37_2    conda-forge
gts                       0.7.6                he293c15_4    conda-forge
gxx_impl_linux-aarch64    13.2.0               h5669b93_2    conda-forge
harfbuzz                  8.2.1                hebeb849_0    conda-forge
icu                       73.2                 h787c7f5_0    conda-forge
idna                      3.4                pyhd8ed1ab_0    conda-forge
imagemagick               7.1.1_18        pl5321h3dc99c5_0    conda-forge
importlib-metadata        6.8.0              pyha770c72_0    conda-forge
importlib-resources       6.1.0              pyhd8ed1ab_0    conda-forge
importlib_metadata        6.8.0                hd8ed1ab_0    conda-forge
importlib_resources       6.1.0              pyhd8ed1ab_0    conda-forge
ipykernel                 6.25.2             pyh2140261_0    conda-forge
ipython                   8.12.2             pyh41d4057_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_0    conda-forge
jbig                      2.1               hf897c2e_2003    conda-forge
jedi                      0.19.0             pyhd8ed1ab_0    conda-forge
jinja2                    3.1.2              pyhd8ed1ab_1    conda-forge
joblib                    1.3.2              pyhd8ed1ab_0    conda-forge
json5                     0.9.14             pyhd8ed1ab_0    conda-forge
jsonpointer               2.4              py38he3eb160_3    conda-forge
jsonschema                4.19.1             pyhd8ed1ab_0    conda-forge
jsonschema-specifications 2023.7.1           pyhd8ed1ab_0    conda-forge
jsonschema-with-format-nongpl 4.19.1             pyhd8ed1ab_0    conda-forge
jupyter-lsp               2.2.0              pyhd8ed1ab_0    conda-forge
jupyter_client            8.3.1              pyhd8ed1ab_0    conda-forge
jupyter_core              5.3.1            py38he3eb160_0    conda-forge
jupyter_events            0.7.0              pyhd8ed1ab_2    conda-forge
jupyter_server            2.7.3              pyhd8ed1ab_1    conda-forge
jupyter_server_terminals  0.4.4              pyhd8ed1ab_1    conda-forge
jupyterlab                4.0.6              pyhd8ed1ab_0    conda-forge
jupyterlab-quarto         0.2.8                    pypi_0    pypi
jupyterlab_pygments       0.2.2              pyhd8ed1ab_0    conda-forge
jupyterlab_server         2.25.0             pyhd8ed1ab_0    conda-forge
kernel-headers_linux-aarch64 4.18.0              h5b4a56d_13    conda-forge
keyutils                  1.6.1                h4e544f5_0    conda-forge
kiwisolver                1.4.5            py38h7e3a353_1    conda-forge
krb5                      1.21.2               hc419048_0    conda-forge
lame                      3.100             h4e544f5_1003    conda-forge
lcms2                     2.15                 h2df2c41_2    conda-forge
ld_impl_linux-aarch64     2.40                 h2d8c526_0    conda-forge
lerc                      4.0.0                h4de3ea5_0    conda-forge
libabseil                 20230802.1      cxx17_h2f0025b_0    conda-forge
libass                    0.17.1               h36b5d3b_1    conda-forge
libblas                   3.9.0           17_linuxaarch64_openblas    conda-forge
libbrotlicommon           1.1.0                h31becfc_0    conda-forge
libbrotlidec              1.1.0                h31becfc_0    conda-forge
libbrotlienc              1.1.0                h31becfc_0    conda-forge
libcblas                  3.9.0           17_linuxaarch64_openblas    conda-forge
libcurl                   8.3.0                h4e8248e_0    conda-forge
libdeflate                1.19                 h31becfc_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libev                     4.33                 h516909a_1    conda-forge
libexpat                  2.5.0                hd600fc2_1    conda-forge
libffi                    3.4.2                h3557bc0_5    conda-forge
libflac                   1.4.3                h2f0025b_0    conda-forge
libgcc-devel_linux-aarch64 13.2.0               h0a96a4f_2    conda-forge
libgcc-ng                 13.2.0               hf8544c7_2    conda-forge
libgd                     2.3.3                h71b7332_8    conda-forge
libgfortran-ng            13.2.0               he9431aa_2    conda-forge
libgfortran5              13.2.0               h582850c_2    conda-forge
libgit2                   1.7.1                h9cec674_0    conda-forge
libglib                   2.78.0               h0464669_0    conda-forge
libgomp                   13.2.0               hf8544c7_2    conda-forge
libiconv                  1.17                 h9cdd2b7_0    conda-forge
libidn2                   2.3.4                h4e544f5_0    conda-forge
libjpeg-turbo             2.1.5.1              h31becfc_1    conda-forge
liblapack                 3.9.0           17_linuxaarch64_openblas    conda-forge
libllvm14                 14.0.6               h966f666_4    conda-forge
libnghttp2                1.52.0               h250e5c5_0    conda-forge
libnsl                    2.0.0                hf897c2e_0    conda-forge
libogg                    1.3.4                h3557bc0_1    conda-forge
libopenblas               0.3.23          pthreads_hd703e6f_0    conda-forge
libopus                   1.3.1                hf897c2e_1    conda-forge
libpng                    1.6.39               hf9034f9_0    conda-forge
libprotobuf               4.24.3               h87e877f_0    conda-forge
librsvg                   2.56.3               h2c07517_0    conda-forge
libsanitizer              13.2.0               h9a76618_2    conda-forge
libsodium                 1.0.18               hb9de7d4_1    conda-forge
libsqlite                 3.43.0               h194ca79_0    conda-forge
libssh2                   1.11.0               h492db2e_0    conda-forge
libstdcxx-devel_linux-aarch64 13.2.0               h0a96a4f_2    conda-forge
libstdcxx-ng              13.2.0               h9a76618_2    conda-forge
libtasn1                  4.19.0               h4e544f5_0    conda-forge
libtiff                   4.6.0                hffba272_1    conda-forge
libtool                   2.4.7                h4de3ea5_0    conda-forge
libunistring              0.9.10               hf897c2e_0    conda-forge
libuuid                   2.38.1               hb4cce97_0    conda-forge
libuv                     1.46.0               h31becfc_0    conda-forge
libvpx                    1.13.0               hd600fc2_0    conda-forge
libwebp                   1.3.2                h850206a_0    conda-forge
libwebp-base              1.3.2                h31becfc_0    conda-forge
libxcb                    1.15                 h2a766a3_0    conda-forge
libxml2                   2.11.5               h3091e33_1    conda-forge
libzlib                   1.2.13               h31becfc_5    conda-forge
llvmlite                  0.40.1           py38h95a9722_0    conda-forge
make                      4.3                  h309ac5b_1    conda-forge
markupsafe                2.1.3            py38hea3b116_1    conda-forge
matplotlib                3.7.3            py38h2063c64_0    conda-forge
matplotlib-base           3.7.3            py38h7709db9_0    conda-forge
matplotlib-inline         0.1.6              pyhd8ed1ab_0    conda-forge
mido                      1.2.10             pyhd8ed1ab_0    conda-forge
mistune                   3.0.1              pyhd8ed1ab_0    conda-forge
mpc                       1.3.1                hf4c8f4c_0    conda-forge
mpfr                      4.2.0                h96f194b_0    conda-forge
mpmath                    1.3.0              pyhd8ed1ab_0    conda-forge
multidict                 6.0.4            py38hda48048_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
nbclient                  0.8.0              pyhd8ed1ab_0    conda-forge
nbconvert-core            7.8.0              pyhd8ed1ab_0    conda-forge
nbformat                  5.9.2              pyhd8ed1ab_0    conda-forge
ncurses                   6.4                  h2e1726e_0    conda-forge
nest-asyncio              1.5.6              pyhd8ed1ab_0    conda-forge
nettle                    3.8.1                hcc5b78b_1    conda-forge
networkx                  3.1                pyhd8ed1ab_0    conda-forge
ninja                     1.11.1               hdd96247_0    conda-forge
notebook-shim             0.2.3              pyhd8ed1ab_0    conda-forge
numba                     0.57.1           py38h2ab0d9a_0    conda-forge
numpy                     1.24.4           py38he3f4005_0    conda-forge
openh264                  2.3.1                hd600fc2_2    conda-forge
openjpeg                  2.5.0                h0d9d63b_3    conda-forge
openssl                   3.1.3                h31becfc_0    conda-forge
overrides                 7.4.0              pyhd8ed1ab_0    conda-forge
p11-kit                   0.24.1               h9f2702f_0    conda-forge
packaging                 23.1               pyhd8ed1ab_0    conda-forge
pandas                    2.0.3            py38h958bb2c_1    conda-forge
pandoc                    3.1.3                h8af1aa0_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
pango                     1.50.14              h11ef544_2    conda-forge
parso                     0.8.3              pyhd8ed1ab_0    conda-forge
pcre2                     10.40                he7b27c6_0    conda-forge
perl                      5.32.1          4_h31becfc_perl5    conda-forge
pexpect                   4.8.0              pyh1a96a4e_2    conda-forge
pickleshare               0.7.5                   py_1003    conda-forge
pillow                    10.0.1           py38h7d768ba_1    conda-forge
pip                       23.2.1             pyhd8ed1ab_0    conda-forge
pixman                    0.42.2               h2f0025b_0    conda-forge
pkg-config                0.29.2            hb9de7d4_1008    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_1    conda-forge
platformdirs              3.10.0             pyhd8ed1ab_0    conda-forge
pooch                     1.7.0              pyha770c72_3    conda-forge
prometheus_client         0.17.1             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.39             pyha770c72_0    conda-forge
prompt_toolkit            3.0.39               hd8ed1ab_0    conda-forge
protobuf                  4.24.3           py38h545948b_0    conda-forge
psutil                    5.9.5            py38h9579f32_1    conda-forge
pthread-stubs             0.4               hb9de7d4_1001    conda-forge
ptyprocess                0.7.0              pyhd3deb0d_0    conda-forge
pure_eval                 0.2.2              pyhd8ed1ab_0    conda-forge
pycparser                 2.21               pyhd8ed1ab_0    conda-forge
pygments                  2.16.1             pyhd8ed1ab_0    conda-forge
pyparsing                 3.1.1              pyhd8ed1ab_0    conda-forge
pysocks                   1.7.1              pyha2e5f31_6    conda-forge
python                    3.8.17          ha43d526_0_cpython    conda-forge
python-dateutil           2.8.2              pyhd8ed1ab_0    conda-forge
python-fastjsonschema     2.18.0             pyhd8ed1ab_0    conda-forge
