# packages in environment at /home/znmeb/miniconda3/envs/r-reticulate:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                       1_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alabaster                 0.7.12                     py_0    conda-forge
anyio                     2.2.0            py39ha65689a_0    conda-forge
argon2-cffi               20.1.0           py39h14843e3_2    conda-forge
async_generator           1.10                       py_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
babel                     2.9.0              pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
binutils_impl_linux-aarch64 2.35.1               h026399b_2    conda-forge
binutils_linux-aarch64    2.35                hcd9001c_30    conda-forge
bleach                    3.3.0              pyh44b312d_0    conda-forge
brotlipy                  0.7.0           py39h14843e3_1001    conda-forge
bwidget                   1.9.14               h8af1aa0_0    conda-forge
bzip2                     1.0.8                hf897c2e_4    conda-forge
c-ares                    1.17.1               hf897c2e_1    conda-forge
ca-certificates           2020.12.5            h4fd8a4c_0    conda-forge
cairo                     1.16.0            ha675c65_1007    conda-forge
certifi                   2020.12.5        py39ha65689a_1    conda-forge
cffi                      1.14.5           py39h460e462_0    conda-forge
chardet                   4.0.0            py39ha65689a_1    conda-forge
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
cryptography              3.4.6            py39hc5d6c06_0    conda-forge
cupy                      8.5.0                    pypi_0    pypi
curl                      7.75.0               h7f0bf2a_0    conda-forge
cusignal                  0.18.0                   pypi_0    pypi
cycler                    0.10.0                     py_2    conda-forge
decorator                 4.4.2                      py_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
docutils                  0.16             py39ha65689a_3    conda-forge
entrypoints               0.3             pyhd8ed1ab_1003    conda-forge
fastrlock                 0.6                      pypi_0    pypi
fontconfig                2.13.1            hd44bfdd_1004    conda-forge
freetype                  2.10.4               hdf53a3c_1    conda-forge
fribidi                   1.0.10               hb9de7d4_0    conda-forge
gcc_impl_linux-aarch64    9.3.0               h5b547fa_17    conda-forge
gcc_linux-aarch64         9.3.0               h5551ba8_30    conda-forge
gettext                   0.19.8.1          h4454c44_1005    conda-forge
gfortran_impl_linux-aarch64 9.3.0               h9875fa7_17    conda-forge
gfortran_linux-aarch64    9.3.0               hbba6789_30    conda-forge
gmp                       6.2.1                h7fd3ca4_0    conda-forge
gmpy2                     2.1.0b1          py39h312c8f2_1    conda-forge
graphite2                 1.3.13            h7fd3ca4_1001    conda-forge
gsl                       2.6                  h4b56f2c_0    conda-forge
gxx_impl_linux-aarch64    9.3.0               he181498_17    conda-forge
gxx_linux-aarch64         9.3.0               h270f6e9_30    conda-forge
harfbuzz                  2.8.0                h6939e63_1    conda-forge
icu                       68.1                 h884eca8_0    conda-forge
idna                      2.10               pyh9f0ad1d_0    conda-forge
imagesize                 1.2.0                      py_0    conda-forge
importlib-metadata        3.7.3            py39ha65689a_0    conda-forge
iniconfig                 1.1.1              pyh9f0ad1d_0    conda-forge
ipykernel                 5.5.0            py39hef158d4_1    conda-forge
ipython                   7.21.0           py39hef158d4_0    conda-forge
ipython_genutils          0.2.0                      py_1    conda-forge
jedi                      0.18.0           py39ha65689a_2    conda-forge
jinja2                    2.11.3             pyh44b312d_0    conda-forge
jpeg                      9d                   hfd2af3c_0    conda-forge
json5                     0.9.5              pyh9f0ad1d_0    conda-forge
jsonschema                3.2.0              pyhd8ed1ab_3    conda-forge
jupyter-packaging         0.7.12             pyhd8ed1ab_0    conda-forge
jupyter_client            6.1.12             pyhd8ed1ab_0    conda-forge
jupyter_core              4.7.1            py39ha65689a_0    conda-forge
jupyter_server            1.4.1            py39ha65689a_0    conda-forge
jupyterlab                3.0.12             pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.1.2              pyh9f0ad1d_0    conda-forge
jupyterlab_server         2.3.0              pyhd8ed1ab_0    conda-forge
kernel-headers_linux-aarch64 4.18.0              hca5cc2b_10    conda-forge
kiwisolver                1.3.1            py39hb300cb6_1    conda-forge
krb5                      1.17.2               he08ec14_0    conda-forge
lcms2                     2.12                 h012adcb_0    conda-forge
ld_impl_linux-aarch64     2.35.1               h02ad14f_2    conda-forge
libblas                   3.9.0                8_openblas    conda-forge
libcblas                  3.9.0                8_openblas    conda-forge
libcurl                   7.75.0               h362eb50_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libev                     4.33                 h516909a_1    conda-forge
libffi                    3.3                  h884eca8_2    conda-forge
libgcc-devel_linux-aarch64 9.3.0               h2e979a9_17    conda-forge
libgcc-ng                 9.3.0               h8ab15db_17    conda-forge
libgfortran-ng            9.3.0               h51dc86a_17    conda-forge
libgfortran5              9.3.0               h51dc86a_17    conda-forge
libglib                   2.68.0               he97b138_1    conda-forge
libgomp                   9.3.0               h8ab15db_17    conda-forge
libiconv                  1.16                 h6dd45c4_0    conda-forge
liblapack                 3.9.0                8_openblas    conda-forge
libllvm10                 10.0.1               he513fc3_3    conda-forge
libnghttp2                1.43.0               h097699d_0    conda-forge
libopenblas               0.3.12          pthreads_h4812303_1    conda-forge
libpng                    1.6.37               hbd635b3_2    conda-forge
libsodium                 1.0.18               hb9de7d4_1    conda-forge
libssh2                   1.9.0                h1ab2c7b_6    conda-forge
libstdcxx-devel_linux-aarch64 9.3.0               h96f9e0b_17    conda-forge
libstdcxx-ng              9.3.0               h7a64470_17    conda-forge
libtiff                   4.2.0                h2294b54_0    conda-forge
libuuid                   2.32.1            hf897c2e_1000    conda-forge
libwebp-base              1.2.0                hf897c2e_2    conda-forge
libxcb                    1.13              h3557bc0_1003    conda-forge
libxml2                   2.9.10               hd674cf7_3    conda-forge
llvmlite                  0.36.0           py39h4ebc84c_0    conda-forge
lz4-c                     1.9.3                h01db608_0    conda-forge
make                      4.3                  h309ac5b_1    conda-forge
markupsafe                1.1.1            py39h91590af_2    conda-forge
matplotlib                3.3.4            py39ha65689a_0    conda-forge
matplotlib-base           3.3.4            py39hf25eaef_0    conda-forge
mistune                   0.8.4           py39h14843e3_1003    conda-forge
